ID,Name,Discounted Price,Original Price,Discount(%),Rating,Shipping
137,Core i3 2nd generation Toshiba Lenovo Laptop 4 Gb Ram 320 GB HDD Fresh Condition Mix with charger,"22,700","30,000",24%,4,No Free Shipping
138,Daraz Like New Laptops - HP ELITEBOOK 840G5 8TH GENERATION INTEL CORE-I5 8250u PROCESSOR 8GB RAM 256GB SSD FHD 14.1 INCHES WINDOWS 11,"95,499","100,000",5%,1,Free Shipping
139,Dell | Chromebook 3189 | 16GB Storage | 4GB RAM | Touch Screen | 11.6″ Screen | Play Store Supported | Rotatable Screen | Chromebook,"26,499",0,0%,2,Free Shipping
140,Dell Chromebook 11 3120 - Intel Celeron - 4GB Ram - 16GB SSD With Web Store - With Box/Bag,"10,999","20,000",45%,0,No Free Shipping
141,HP EliteBook 840 G3 Core i5 6th Generation,"52,500","56,000",6%,0,No Free Shipping
142,"Acer Aspire 5 A515 Core i3 13th Gen , 8GB, 512GB SSD, 15.6″ FHD LED, Win 11","136,999","150,000",9%,0,No Free Shipping
143,HP EliteBook 820 G3 Core i5 6th Generation,"45,000","52,000",13%,0,No Free Shipping
144,"Latitude E5470 14 inches HD Laptop, Core i3-6100U 2.3GHz, 8GB, 256GB Solid State Drive , Windows 10 Pro 64Bi","45,000","50,000",10%,0,No Free Shipping
145,Daraz Like New Laptops - HP ELITEBOOK 840-G5 8TH GENERATION INTEL CORE-I5 8250u PROCESSOR 8GB RAM 256GB SSD FHD 14.1’INCH TOUCH SCREEN (WINDOWS 11 ACTIVATED) FREE LAPTOP B,"99,999","110,000",9%,0,Free Shipping
146,"Lenovo ThinkPad X270 12.5"" Business Laptop Computer Intel Core i7-6300U Up to 3.0GHz 8GB RAM 500GB PCIE HDD Intel HD Graphics 520 Bluetooth 4.1 802.11ac WiFi USB-C HDMI Win 10 Pro","70,000",0,0%,0,No Free Shipping
147,"Lenovo V15 G2 ITL - Intel Core i5-1135G7, 4GB Soldered RAM, 1TB HDD, 15.6"" FHD, Black, 1 Year Warranty with Windows 11 and Free Backpack","179,900","189,900",5%,0,No Free Shipping
148,"HP 255 G7 15.6"" LCD Notebook - AMD (7th Gen) A6-9225 Dual-core (2 Core) 2.60 GHz - 8 GB DDR4 SDRAM - 256 GB SSD - Windows 10 Pro 64-bit (English) - 1366 x 768 - AMD Radeon R4 Graphics DDR4 SDRAM","40,999","60,000",32%,0,No Free Shipping
149,Mac Book Pro 2012 | 500GB Storage | 4GB RAM | 2.5GHz Dual-Core Core i5 | Mid 2012 | 13.3-inch LED Display | 7 Hours Battery,"38,999","75,000",48%,0,Free Shipping
150,"Laptops - Lenovo ThinkPad T470s 14'' FHD (1920x1080) IPS Business Laptop (Intel Dual-Core i5-6300U, 8GB DDR4 RAM, 256GB PCIe NVMe M.2 SSD) Backlit, Fingerprint, Thunderbolt 3, Type-C, Windows 10 Pro","60,999","70,000",13%,0,No Free Shipping
151,Daraz Like New Laptops - Dell Latitude E5580 - Core i5-7thHQ Generation - 16GB Ram 256Gb Ssd - 15.6inch Screen Size - (FHD Display) Intel HD Graphics,"77,999",0,0%,0,Free Shipping
152,"Acer TravelMate P449-M-516P - 14"" - Core i5 6200U / 2.3 GHz - 8GB RAM - 256GB SSD - Win 10 Pro 64 bit Intel Graphics 520 - Wi-Fi - black","49,999","60,000",17%,0,No Free Shipping
